Batches,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
10,Energy (Sigma^2),0.8639779402574678,0.9714227274587097,92.98245614035089
10,Fisher Diag,0.9179724930217056,0.9883763788806362,95.6140350877193
10,Fisher Full,1.0,0.9999999999999999,100.0
10,Gradient Magnitude,0.6520500041661459,0.8347507559430741,78.94736842105262
10,Hessian Diag,1.0,0.9999999999999999,100.0
10,Hessian Full,1.0,0.9999999999999999,100.0
10,Magnitude (Sigma),0.8639779402574678,0.9714227274587097,92.98245614035089
10,Taylor 1st-order,0.9180545140190809,0.9884030833914096,95.6140350877193
10,True Loss Increase,0.6442383943266596,0.812457409450512,95.6140350877193
50,Energy (Sigma^2),0.8802167958171895,0.9767203280605129,95.6140350877193
50,Fisher Diag,0.9273749635462235,0.990814471368628,95.6140350877193
50,Fisher Full,1.0,0.9999999999999999,100.0
50,Gradient Magnitude,0.6838298858476023,0.8627585781987448,82.45614035087719
50,Hessian Diag,1.0,0.9999999999999999,100.0
50,Hessian Full,1.0,0.9999999999999999,100.0
50,Magnitude (Sigma),0.8802167958171895,0.9767203280605129,95.6140350877193
50,Taylor 1st-order,0.9277056513769114,0.9909670965212531,95.6140350877193
50,True Loss Increase,0.6477909486864429,0.8158250691557812,94.73684210526316
100,Energy (Sigma^2),0.8809601924759406,0.9775521169759861,94.73684210526316
100,Fisher Diag,0.9329068241469817,0.9921823166558562,95.6140350877193
100,Fisher Full,1.0,0.9999999999999999,100.0
100,Gradient Magnitude,0.6839001895596385,0.8608824961839519,85.96491228070175
100,Hessian Diag,1.0,0.9999999999999999,100.0
100,Hessian Full,1.0,0.9999999999999999,100.0
100,Magnitude (Sigma),0.8809601924759406,0.9775521169759861,94.73684210526316
100,Taylor 1st-order,0.9329068241469817,0.9921823166558562,95.6140350877193
100,True Loss Increase,0.6449065741948706,0.8131467465469976,95.6140350877193
