Batches,Layer,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
10,layer1.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Fisher Diag,0.9384920634920635,0.9918040293040291,100.0
10,layer1.0.conv1,Taylor 1st-order,0.9384920634920635,0.9918040293040291,100.0
10,layer1.0.conv1,Gradient Magnitude,0.6636904761904762,0.8320054945054943,89.47368421052632
10,layer1.0.conv1,Magnitude (Sigma),0.8898809523809524,0.9785714285714285,94.73684210526315
10,layer1.0.conv1,Energy (Sigma^2),0.8898809523809524,0.9785714285714285,94.73684210526315
10,layer1.0.conv1,True Loss Increase,0.635506688312709,0.7981223016672945,100.0
10,layer1.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Fisher Diag,0.9027777777777778,0.9846611721611721,94.73684210526315
10,layer1.0.conv2,Taylor 1st-order,0.9027777777777778,0.9846611721611721,94.73684210526315
10,layer1.0.conv2,Gradient Magnitude,0.673611111111111,0.8583791208791208,73.68421052631578
10,layer1.0.conv2,Magnitude (Sigma),0.8482142857142856,0.9649725274725274,94.73684210526315
10,layer1.0.conv2,Energy (Sigma^2),0.8482142857142856,0.9649725274725274,94.73684210526315
10,layer1.0.conv2,True Loss Increase,0.6815588883680572,0.8550757827545585,94.73684210526315
10,layer2.0.conv1,Hessian Full,1.0,1.0,100.0
10,layer2.0.conv1,Hessian Diag,1.0,1.0,100.0
10,layer2.0.conv1,Fisher Full,1.0,1.0,100.0
10,layer2.0.conv1,Fisher Diag,0.9126476377952757,0.9886639351767075,92.10526315789474
10,layer2.0.conv1,Taylor 1st-order,0.9128937007874016,0.9887440487090274,92.10526315789474
10,layer2.0.conv1,Gradient Magnitude,0.6188484251968505,0.8138676524446072,73.68421052631578
10,layer2.0.conv1,Magnitude (Sigma),0.8538385826771655,0.9707242263321736,89.47368421052632
10,layer2.0.conv1,Energy (Sigma^2),0.8538385826771655,0.9707242263321736,89.47368421052632
