Batches,Method,Elapsed_Sec
10,Energy (Sigma^2),0.0012578999157994986
10,Fisher Diag,0.0012401000130921602
10,Fisher Full,0.0013013998977839947
10,Gradient Magnitude,0.0012968999799340963
10,Hessian Diag,0.0018444997258484364
10,Hessian Full,0.02224439987912774
10,Magnitude (Sigma),0.0012316000647842884
10,Taylor 1st-order,0.0012938999570906162
10,True Loss Increase,0.0010101001244038343
50,Energy (Sigma^2),0.0010823998600244522
50,Fisher Diag,0.0013041999191045761
50,Fisher Full,0.0012929001823067665
50,Gradient Magnitude,0.0011914002243429422
50,Hessian Diag,0.0016187001019716263
50,Hessian Full,0.003597599919885397
50,Magnitude (Sigma),0.0010064998641610146
50,Taylor 1st-order,0.0012340000830590725
50,True Loss Increase,0.0012551001273095608
100,Energy (Sigma^2),0.0012845001183450222
100,Fisher Diag,0.001524199964478612
100,Fisher Full,0.00163569999858737
100,Gradient Magnitude,0.0014335999730974436
100,Hessian Diag,0.0018199000041931868
100,Hessian Full,0.004069099901244044
100,Magnitude (Sigma),0.001321700168773532
100,Taylor 1st-order,0.001322699710726738
100,True Loss Increase,0.00121749984100461
