Batches,Method,Total_Computation_Time_Sec,Avg_Computation_Time_Per_Layer_Sec
10,Hessian Full,0.0036715997848659754,0.00022947498655412346
10,Hessian Diag,0.14654970075935125,0.009159356297459453
10,Fisher Full,0.001429699594154954,8.935622463468462e-05
10,Fisher Diag,0.0005365004763007164,3.3531279768794775e-05
10,Taylor 1st-order,0.0003717993386089802,2.323745866306126e-05
10,Gradient Magnitude,0.0008277005981653929,5.1731287385337055e-05
10,Magnitude (Sigma),0.0003068998921662569,1.9181243260391057e-05
10,Energy (Sigma^2),0.00045050005428493023,2.815625339280814e-05
50,Hessian Full,0.005612300476059318,0.00035076877975370735
50,Hessian Diag,0.0017127993050962687,0.00010704995656851679
50,Fisher Full,0.002699300181120634,0.00016870626132003963
50,Fisher Diag,0.0006524999625980854,4.078124766238034e-05
50,Taylor 1st-order,0.0005233003757894039,3.2706273486837745e-05
50,Gradient Magnitude,0.0007241996936500072,4.526248085312545e-05
50,Magnitude (Sigma),0.00026940018869936466,1.683751179371029e-05
50,Energy (Sigma^2),0.0003158000763505697,1.9737504771910608e-05
100,Hessian Full,0.003451099619269371,0.0002156937262043357
100,Hessian Diag,0.0018539992161095142,0.00011587495100684464
100,Fisher Full,0.0018571002874523401,0.00011606876796577126
100,Fisher Diag,0.0008165002800524235,5.103126750327647e-05
100,Taylor 1st-order,0.000337100587785244,2.106878673657775e-05
100,Gradient Magnitude,0.0008399998769164085,5.2499992307275534e-05
100,Magnitude (Sigma),0.0004368000663816929,2.7300004148855805e-05
100,Energy (Sigma^2),0.0003500997554510832,2.18812347156927e-05
